zona,data,faixa_horaria,tipo_ocorrencia,clima,evento_especial,denuncias_app_ultimas_24h,anomalias_cameras_ultimas_24h,risco_ocorrencia,volume_estimado
Ceilândia,2025-07-10,06-12h,Todos,Nublado,Sim,4,2,1,3
Brazlândia,2025-07-09,06-12h,Roubo,Céu limpo,Não,6,3,66,4
Sobradinho,2025-06-28,06-12h,Vandalismo,Nublado,Não,26,7,1,4
Riacho Fundo II,2025-07-13,06-12h,Todos,Chuva,Sim,12,15,19,6
Park Way,2025-07-19,06-12h,Roubo,Chuva,Sim,24,8,70,9
Park Way,2025-07-07,00-06h,Vandalismo,Céu limpo,Sim,0,13,95,4
Fercal,2025-07-10,06-12h,Roubo,Nublado,Não,30,7,83,0
Lago Sul,2025-07-03,06-12h,Furto,Chuva,Sim,11,5,89,6
Sol Nascente/Pôr do Sol,2025-06-25,12-18h,Roubo,Céu limpo,Sim,1,1,37,5
Riacho Fundo II,2025-06-30,00-06h,Vandalismo,Céu limpo,Sim,23,0,68,8
Gama,2025-06-27,18-23h,Furto,Chuva,Sim,7,8,11,3
Brazlândia,2025-07-12,06-12h,Vandalismo,Céu limpo,Não,3,8,82,4
Park Way,2025-07-19,06-12h,Todos,Chuva,Não,4,3,50,2
Plano Piloto,2025-07-17,00-06h,Roubo,Nublado,Não,15,11,1,2
Gama,2025-06-25,00-06h,Roubo,Chuva,Não,10,7,50,6
Samambaia,2025-06-22,12-18h,Roubo,Chuva,Sim,13,4,90,9
São Sebastião,2025-07-06,18-23h,Roubo,Nublado,Não,27,11,81,5
Asa Sul,2025-07-02,18-23h,Todos,Nublado,Sim,11,11,4,5
Varjão,2025-07-05,12-18h,Vandalismo,Nublado,Sim,14,5,36,0
Jardim Botânico,2025-07-01,06-12h,Vandalismo,Céu limpo,Sim,12,12,25,10
Sobradinho,2025-07-08,18-23h,Roubo,Nublado,Não,1,15,91,3
Guará,2025-07-05,12-18h,Vandalismo,Nublado,Sim,20,9,83,10
Santa Maria,2025-06-25,06-12h,Todos,Nublado,Sim,10,9,59,8
Varjão,2025-07-09,12-18h,Todos,Chuva,Não,12,10,23,0
Sudoeste/Octogonal,2025-06-24,06-12h,Furto,Céu limpo,Não,9,7,6,2
Riacho Fundo,2025-06-27,06-12h,Todos,Céu limpo,Não,5,12,39,3
Lago Sul,2025-06-30,18-23h,Todos,Chuva,Não,27,9,36,10
Recanto das Emas,2025-06-24,00-06h,Roubo,Nublado,Sim,15,15,80,7
Brazlândia,2025-07-17,18-23h,Furto,Céu limpo,Não,9,3,29,9
Gama,2025-06-24,06-12h,Roubo,Nublado,Sim,14,1,40,1
Riacho Fundo,2025-07-10,12-18h,Roubo,Chuva,Não,14,2,6,8
Itapoã,2025-06-26,06-12h,Furto,Chuva,Sim,15,7,52,5
Sobradinho II,2025-07-18,00-06h,Furto,Céu limpo,Não,18,11,4,4
Sobradinho II,2025-07-17,18-23h,Roubo,Chuva,Não,8,13,60,0
Guará,2025-07-05,12-18h,Vandalismo,Chuva,Não,28,12,74,8
Guará,2025-07-04,06-12h,Todos,Céu limpo,Sim,29,11,37,5
Vicente Pires,2025-06-27,00-06h,Vandalismo,Nublado,Sim,11,1,32,9
Taguatinga,2025-07-08,18-23h,Vandalismo,Chuva,Não,24,11,95,1
SIA,2025-06-23,12-18h,Furto,Chuva,Sim,20,0,39,9
Taguatinga,2025-06-21,00-06h,Furto,Céu limpo,Não,19,5,79,1
Lago Sul,2025-06-30,12-18h,Todos,Nublado,Sim,27,11,72,8
Sobradinho II,2025-07-09,00-06h,Roubo,Céu limpo,Não,10,2,26,9
SCIA/Estrutural,2025-06-26,00-06h,Furto,Nublado,Sim,1,4,66,8
Samambaia,2025-07-17,18-23h,Vandalismo,Nublado,Não,25,6,55,3
Park Way,2025-06-30,06-12h,Roubo,Céu limpo,Sim,22,13,99,0
Planaltina,2025-07-14,06-12h,Furto,Chuva,Sim,27,10,50,6
Vicente Pires,2025-06-28,12-18h,Todos,Nublado,Sim,10,0,5,5
Gama,2025-07-05,18-23h,Furto,Céu limpo,Não,19,6,17,6
Itapoã,2025-07-20,12-18h,Todos,Nublado,Sim,18,15,4,9
Núcleo Bandeirante,2025-06-27,00-06h,Vandalismo,Céu limpo,Sim,23,5,82,7
Núcleo Bandeirante,2025-07-05,06-12h,Todos,Céu limpo,Não,27,5,70,0
Plano Piloto,2025-06-30,00-06h,Roubo,Céu limpo,Não,9,5,44,6
Lago Sul,2025-07-02,12-18h,Furto,Nublado,Sim,20,11,11,3
Taguatinga,2025-06-30,18-23h,Roubo,Céu limpo,Não,3,8,92,4
Asa Sul,2025-07-09,00-06h,Roubo,Chuva,Sim,2,3,21,6
Águas Claras,2025-06-29,06-12h,Furto,Chuva,Sim,17,7,66,3
SCIA/Estrutural,2025-07-07,12-18h,Todos,Céu limpo,Não,9,1,56,2
Asa Sul,2025-07-09,00-06h,Roubo,Nublado,Não,28,0,62,5
Brazlândia,2025-07-10,12-18h,Vandalismo,Nublado,Sim,4,7,58,10
Asa Sul,2025-06-27,00-06h,Furto,Céu limpo,Sim,4,1,45,7
Plano Piloto,2025-06-30,06-12h,Todos,Céu limpo,Não,5,9,14,6
Park Way,2025-07-15,06-12h,Todos,Nublado,Não,22,6,45,5
SCIA/Estrutural,2025-06-28,18-23h,Furto,Nublado,Não,6,8,34,8
Sobradinho II,2025-06-27,06-12h,Todos,Céu limpo,Não,30,2,40,9
Lago Sul,2025-06-30,12-18h,Roubo,Céu limpo,Não,3,15,5,10
Varjão,2025-06-24,18-23h,Roubo,Céu limpo,Não,4,4,77,2
Santa Maria,2025-06-25,18-23h,Todos,Céu limpo,Sim,24,13,66,9
Samambaia,2025-06-22,18-23h,Vandalismo,Céu limpo,Sim,11,11,69,6
Arniqueira,2025-07-16,12-18h,Todos,Chuva,Não,1,4,100,5
Riacho Fundo,2025-07-03,06-12h,Furto,Chuva,Não,17,0,93,1
Guará,2025-07-06,12-18h,Roubo,Céu limpo,Não,26,1,64,8
Recanto das Emas,2025-07-14,00-06h,Roubo,Chuva,Sim,22,6,11,3
Plano Piloto,2025-07-15,06-12h,Furto,Nublado,Não,10,13,61,10
Park Way,2025-07-01,00-06h,Roubo,Nublado,Sim,0,13,58,9
São Sebastião,2025-06-25,18-23h,Furto,Nublado,Não,1,5,81,2
Lago Sul,2025-07-16,12-18h,Furto,Céu limpo,Sim,0,1,45,3
Asa Sul,2025-07-21,06-12h,Vandalismo,Chuva,Não,13,2,16,4
Lago Sul,2025-07-20,18-23h,Furto,Céu limpo,Não,21,3,76,10
Sobradinho II,2025-06-22,06-12h,Todos,Nublado,Sim,24,8,76,7
Lago Sul,2025-07-09,06-12h,Roubo,Chuva,Sim,11,11,83,3
Samambaia,2025-07-19,00-06h,Furto,Chuva,Não,24,1,56,8
SCIA/Estrutural,2025-07-04,06-12h,Vandalismo,Céu limpo,Sim,3,8,61,3
Núcleo Bandeirante,2025-07-16,12-18h,Roubo,Chuva,Sim,1,12,36,8
Gama,2025-07-08,12-18h,Roubo,Nublado,Não,16,2,27,10
Águas Claras,2025-07-13,06-12h,Roubo,Chuva,Sim,20,10,100,3
Gama,2025-07-08,00-06h,Todos,Nublado,Sim,0,11,31,3
Varjão,2025-06-23,06-12h,Furto,Nublado,Sim,13,10,57,5
Sobradinho,2025-07-13,00-06h,Furto,Céu limpo,Não,22,15,33,5
Planaltina,2025-06-23,18-23h,Roubo,Chuva,Não,5,13,87,3
Cruzeiro,2025-06-30,00-06h,Roubo,Chuva,Não,22,8,65,10
Varjão,2025-07-20,06-12h,Vandalismo,Chuva,Não,15,0,92,3
Riacho Fundo,2025-07-17,00-06h,Furto,Céu limpo,Sim,1,2,47,6
Varjão,2025-07-02,12-18h,Furto,Nublado,Sim,21,0,89,1
Gama,2025-07-04,06-12h,Todos,Céu limpo,Sim,26,8,36,1
Park Way,2025-07-10,18-23h,Todos,Céu limpo,Não,24,4,37,3
Sol Nascente/Pôr do Sol,2025-07-02,18-23h,Furto,Nublado,Não,28,8,88,2
Recanto das Emas,2025-07-01,06-12h,Todos,Chuva,Não,8,13,5,2
Taguatinga,2025-06-30,06-12h,Roubo,Chuva,Não,26,4,3,0
Park Way,2025-07-16,12-18h,Todos,Céu limpo,Não,10,11,74,7
Planaltina,2025-07-16,00-06h,Vandalismo,Chuva,Sim,17,5,25,4
Taguatinga,2025-06-22,06-12h,Roubo,Chuva,Sim,23,3,29,4
Águas Claras,2025-07-07,06-12h,Furto,Céu limpo,Não,0,0,16,2
SIA,2025-06-27,18-23h,Furto,Céu limpo,Não,18,6,17,1
Guará,2025-07-17,12-18h,Furto,Chuva,Sim,3,3,75,7
São Sebastião,2025-07-04,00-06h,Roubo,Nublado,Sim,7,2,19,10
Itapoã,2025-07-15,12-18h,Furto,Céu limpo,Não,9,10,25,3
Sobradinho II,2025-07-21,00-06h,Todos,Nublado,Sim,14,10,14,2
SIA,2025-07-03,00-06h,Vandalismo,Nublado,Sim,20,9,100,2
Varjão,2025-06-22,18-23h,Todos,Nublado,Sim,24,4,19,8
São Sebastião,2025-07-03,18-23h,Roubo,Nublado,Não,0,4,36,0
Asa Norte,2025-06-29,06-12h,Todos,Chuva,Sim,9,12,14,3
Asa Norte,2025-07-11,06-12h,Todos,Céu limpo,Não,9,4,97,3
SCIA/Estrutural,2025-07-14,12-18h,Roubo,Nublado,Não,8,12,31,5
Águas Claras,2025-06-24,18-23h,Furto,Chuva,Sim,30,10,68,1
Samambaia,2025-07-08,18-23h,Todos,Céu limpo,Sim,14,7,53,4
Plano Piloto,2025-07-07,00-06h,Furto,Chuva,Sim,23,12,11,8
Samambaia,2025-07-08,06-12h,Furto,Céu limpo,Não,7,3,16,6
Asa Norte,2025-06-21,00-06h,Todos,Nublado,Sim,19,13,74,5
Ceilândia,2025-07-19,12-18h,Vandalismo,Céu limpo,Sim,28,12,47,3
Samambaia,2025-06-21,00-06h,Vandalismo,Nublado,Sim,3,14,83,8
Asa Norte,2025-07-19,12-18h,Roubo,Nublado,Não,23,10,49,6
Varjão,2025-06-27,18-23h,Furto,Céu limpo,Não,21,7,14,8
Sol Nascente/Pôr do Sol,2025-07-20,18-23h,Furto,Nublado,Sim,13,6,37,1
SIA,2025-06-30,00-06h,Todos,Nublado,Sim,12,15,1,9
Núcleo Bandeirante,2025-07-12,06-12h,Furto,Chuva,Não,4,15,68,10
Cruzeiro,2025-07-16,06-12h,Todos,Chuva,Sim,11,15,8,1
Sobradinho II,2025-07-13,00-06h,Todos,Nublado,Sim,17,14,14,3
SIA,2025-06-27,12-18h,Vandalismo,Chuva,Sim,6,12,81,0
Cruzeiro,2025-07-14,06-12h,Todos,Céu limpo,Sim,17,14,52,8
Guará,2025-07-12,06-12h,Todos,Nublado,Sim,9,4,79,3
Candangolândia,2025-07-01,12-18h,Roubo,Chuva,Não,29,4,27,4
Park Way,2025-06-26,06-12h,Vandalismo,Céu limpo,Sim,12,12,14,7
SIA,2025-07-09,06-12h,Roubo,Chuva,Sim,16,10,22,8
Riacho Fundo,2025-07-15,00-06h,Furto,Chuva,Não,20,13,74,2
Candangolândia,2025-07-06,06-12h,Todos,Nublado,Sim,28,12,71,3
Recanto das Emas,2025-07-10,00-06h,Roubo,Céu limpo,Sim,28,2,70,3
Lago Sul,2025-06-30,12-18h,Furto,Nublado,Sim,8,6,62,7
Sol Nascente/Pôr do Sol,2025-07-03,00-06h,Roubo,Chuva,Sim,29,2,35,1
Cruzeiro,2025-07-09,06-12h,Vandalismo,Nublado,Não,20,7,36,7
São Sebastião,2025-07-11,06-12h,Furto,Céu limpo,Sim,2,0,24,9
Plano Piloto,2025-07-05,06-12h,Roubo,Chuva,Não,14,10,25,4
Cruzeiro,2025-06-26,06-12h,Todos,Nublado,Não,24,13,93,9
Águas Claras,2025-07-20,00-06h,Furto,Nublado,Sim,22,10,16,3
Samambaia,2025-07-04,06-12h,Furto,Chuva,Não,18,1,67,3
Brazlândia,2025-06-29,18-23h,Furto,Céu limpo,Não,26,1,87,3
Lago Sul,2025-06-22,00-06h,Todos,Chuva,Não,26,6,57,5
Riacho Fundo II,2025-07-10,06-12h,Todos,Nublado,Sim,29,10,63,5
Ceilândia,2025-07-13,06-12h,Vandalismo,Céu limpo,Não,14,3,57,5
Cruzeiro,2025-07-20,00-06h,Roubo,Céu limpo,Sim,3,3,32,0
Samambaia,2025-06-28,18-23h,Vandalismo,Chuva,Sim,12,0,40,2
Sol Nascente/Pôr do Sol,2025-07-09,06-12h,Vandalismo,Céu limpo,Sim,13,5,43,9
Águas Claras,2025-06-22,06-12h,Todos,Chuva,Sim,1,2,62,9
Riacho Fundo II,2025-07-08,18-23h,Todos,Chuva,Sim,24,12,5,3
Jardim Botânico,2025-07-19,06-12h,Todos,Chuva,Sim,7,5,25,8
Asa Sul,2025-06-29,18-23h,Todos,Céu limpo,Não,3,12,60,1
Fercal,2025-06-25,00-06h,Todos,Céu limpo,Não,27,15,54,0
Sobradinho II,2025-07-19,06-12h,Todos,Céu limpo,Sim,18,4,52,8
Park Way,2025-07-03,06-12h,Roubo,Nublado,Não,4,0,25,8
Asa Sul,2025-06-24,18-23h,Vandalismo,Nublado,Não,17,4,15,4
Águas Claras,2025-07-05,06-12h,Furto,Nublado,Não,25,11,68,4
Ceilândia,2025-07-06,00-06h,Vandalismo,Nublado,Não,28,5,72,3
Sol Nascente/Pôr do Sol,2025-07-02,12-18h,Furto,Chuva,Sim,14,11,31,8
Núcleo Bandeirante,2025-06-23,00-06h,Roubo,Chuva,Sim,28,0,14,7
Taguatinga,2025-06-21,12-18h,Roubo,Nublado,Sim,0,12,28,2
Lago Sul,2025-07-12,18-23h,Furto,Nublado,Não,8,6,32,6
SIA,2025-07-21,18-23h,Vandalismo,Céu limpo,Sim,12,10,58,10
Planaltina,2025-07-01,12-18h,Vandalismo,Céu limpo,Sim,9,3,23,9
Candangolândia,2025-07-11,06-12h,Todos,Chuva,Não,2,6,57,10
Asa Norte,2025-07-06,18-23h,Todos,Nublado,Não,9,14,41,8
Águas Claras,2025-07-16,12-18h,Todos,Nublado,Não,10,8,32,5
Itapoã,2025-06-30,12-18h,Todos,Céu limpo,Não,18,7,29,8
Riacho Fundo,2025-06-26,12-18h,Todos,Chuva,Não,17,5,2,3
Sobradinho,2025-07-13,00-06h,Vandalismo,Chuva,Não,7,15,88,10
Asa Sul,2025-07-03,12-18h,Todos,Nublado,Não,19,9,27,9
Jardim Botânico,2025-07-16,00-06h,Furto,Nublado,Sim,15,7,89,9
Varjão,2025-06-26,06-12h,Furto,Céu limpo,Não,12,2,45,2
Lago Norte,2025-07-05,18-23h,Furto,Nublado,Não,19,4,13,9
Fercal,2025-07-16,18-23h,Todos,Chuva,Não,11,10,99,1
Varjão,2025-06-30,06-12h,Todos,Chuva,Sim,20,13,11,6
Águas Claras,2025-07-15,12-18h,Roubo,Céu limpo,Não,13,4,44,6
Riacho Fundo,2025-06-22,18-23h,Vandalismo,Céu limpo,Sim,12,6,73,7
Park Way,2025-06-25,06-12h,Todos,Chuva,Não,21,15,69,8
Santa Maria,2025-07-09,12-18h,Roubo,Nublado,Sim,11,7,9,5
Águas Claras,2025-07-06,06-12h,Roubo,Céu limpo,Sim,28,13,29,0
São Sebastião,2025-06-26,00-06h,Vandalismo,Céu limpo,Não,11,7,92,6
São Sebastião,2025-07-03,06-12h,Vandalismo,Céu limpo,Sim,24,14,70,10
Recanto das Emas,2025-06-21,00-06h,Todos,Chuva,Sim,9,8,68,2
Vicente Pires,2025-06-29,18-23h,Todos,Nublado,Sim,17,12,67,9
Sudoeste/Octogonal,2025-07-12,06-12h,Roubo,Nublado,Sim,18,14,79,0
Asa Norte,2025-07-16,12-18h,Roubo,Nublado,Não,18,11,34,7
Varjão,2025-07-02,06-12h,Furto,Céu limpo,Não,7,6,57,2
Varjão,2025-06-26,12-18h,Furto,Céu limpo,Não,20,13,9,1
Recanto das Emas,2025-07-15,06-12h,Vandalismo,Céu limpo,Não,20,2,61,1
SIA,2025-06-21,12-18h,Furto,Céu limpo,Não,7,0,75,5
Brazlândia,2025-07-19,06-12h,Todos,Nublado,Sim,0,6,59,2
Núcleo Bandeirante,2025-07-04,06-12h,Todos,Chuva,Sim,25,12,61,5
Sol Nascente/Pôr do Sol,2025-07-07,06-12h,Vandalismo,Nublado,Não,12,13,29,3
Santa Maria,2025-07-04,00-06h,Furto,Nublado,Não,17,3,40,4
Arniqueira,2025-07-18,00-06h,Furto,Nublado,Sim,4,3,79,7
Sudoeste/Octogonal,2025-07-17,12-18h,Furto,Nublado,Sim,15,14,3,7
Águas Claras,2025-07-16,00-06h,Furto,Nublado,Sim,8,10,52,2
São Sebastião,2025-06-25,00-06h,Furto,Céu limpo,Sim,15,13,94,0
Lago Norte,2025-06-25,18-23h,Furto,Chuva,Sim,20,12,0,4
Gama,2025-07-19,06-12h,Todos,Céu limpo,Não,8,6,7,10
Brazlândia,2025-07-21,18-23h,Roubo,Nublado,Não,10,15,24,2
Park Way,2025-06-24,06-12h,Todos,Céu limpo,Sim,9,2,92,10
Gama,2025-07-19,12-18h,Furto,Céu limpo,Sim,23,1,56,6
Riacho Fundo II,2025-07-10,18-23h,Roubo,Céu limpo,Não,4,13,85,7
Riacho Fundo,2025-07-18,00-06h,Furto,Nublado,Sim,29,9,15,3
Plano Piloto,2025-06-21,06-12h,Roubo,Chuva,Não,30,4,11,0
Riacho Fundo II,2025-07-17,18-23h,Roubo,Nublado,Sim,15,2,66,3
Gama,2025-06-23,18-23h,Vandalismo,Nublado,Não,17,10,72,6
Brazlândia,2025-06-25,06-12h,Vandalismo,Nublado,Não,7,9,89,7
Riacho Fundo II,2025-06-30,12-18h,Vandalismo,Céu limpo,Sim,4,15,67,2
Sol Nascente/Pôr do Sol,2025-07-21,06-12h,Todos,Céu limpo,Sim,28,0,11,4
Candangolândia,2025-07-15,12-18h,Roubo,Céu limpo,Não,20,4,0,6
Guará,2025-07-11,06-12h,Vandalismo,Nublado,Não,12,2,66,7
Águas Claras,2025-06-27,00-06h,Roubo,Chuva,Não,28,7,33,2
Samambaia,2025-06-30,06-12h,Furto,Nublado,Não,15,5,64,4
Asa Sul,2025-07-14,06-12h,Roubo,Chuva,Não,20,6,31,4
Park Way,2025-07-15,00-06h,Roubo,Céu limpo,Sim,21,13,65,9
Gama,2025-07-05,12-18h,Vandalismo,Nublado,Não,24,3,66,0
Guará,2025-07-10,12-18h,Todos,Céu limpo,Não,30,6,89,6
Cruzeiro,2025-06-28,12-18h,Todos,Chuva,Não,13,12,47,6
Planaltina,2025-07-09,00-06h,Roubo,Céu limpo,Não,29,6,23,8
Recanto das Emas,2025-06-26,00-06h,Vandalismo,Chuva,Não,29,1,74,8
Planaltina,2025-07-18,12-18h,Vandalismo,Céu limpo,Não,30,14,83,0
Sol Nascente/Pôr do Sol,2025-07-12,06-12h,Roubo,Chuva,Sim,16,6,72,2
Riacho Fundo II,2025-07-09,18-23h,Todos,Chuva,Não,0,10,68,3
Guará,2025-07-12,06-12h,Roubo,Nublado,Sim,21,4,42,1
Sudoeste/Octogonal,2025-06-29,12-18h,Roubo,Chuva,Sim,3,15,35,1
Cruzeiro,2025-07-20,18-23h,Todos,Nublado,Sim,16,6,3,8
Lago Sul,2025-07-01,00-06h,Roubo,Chuva,Sim,30,3,100,9
SCIA/Estrutural,2025-07-05,12-18h,Vandalismo,Chuva,Sim,27,2,92,5
Cruzeiro,2025-07-15,06-12h,Furto,Céu limpo,Sim,9,13,45,2
Brazlândia,2025-07-15,12-18h,Vandalismo,Céu limpo,Sim,13,6,29,7
Lago Sul,2025-07-21,12-18h,Todos,Nublado,Não,27,14,50,10
Brazlândia,2025-06-23,12-18h,Furto,Nublado,Sim,21,0,13,4
Cruzeiro,2025-07-04,18-23h,Furto,Céu limpo,Não,6,5,2,2
Riacho Fundo II,2025-07-20,06-12h,Furto,Nublado,Não,26,2,19,7
Samambaia,2025-07-10,06-12h,Todos,Chuva,Não,25,9,96,1
Sobradinho II,2025-07-05,12-18h,Vandalismo,Nublado,Não,25,1,59,4
Taguatinga,2025-06-24,00-06h,Vandalismo,Chuva,Sim,7,12,22,6
São Sebastião,2025-06-21,06-12h,Todos,Chuva,Não,25,7,55,4
São Sebastião,2025-07-09,06-12h,Todos,Nublado,Sim,26,12,34,4
Guará,2025-07-01,18-23h,Furto,Chuva,Sim,11,9,25,6
Itapoã,2025-06-22,00-06h,Todos,Céu limpo,Sim,19,14,14,5
Jardim Botânico,2025-07-01,18-23h,Vandalismo,Nublado,Sim,0,1,82,6
Plano Piloto,2025-07-19,18-23h,Todos,Nublado,Sim,22,15,84,6
São Sebastião,2025-07-08,12-18h,Vandalismo,Céu limpo,Não,3,15,57,9
Fercal,2025-06-22,18-23h,Vandalismo,Chuva,Sim,6,12,95,2
Arniqueira,2025-06-21,12-18h,Todos,Nublado,Não,6,6,45,8
Samambaia,2025-07-20,06-12h,Furto,Chuva,Sim,29,10,24,7
Núcleo Bandeirante,2025-07-19,06-12h,Todos,Chuva,Sim,26,1,48,9
Lago Sul,2025-07-20,12-18h,Furto,Nublado,Não,1,1,63,6
Gama,2025-07-20,06-12h,Vandalismo,Chuva,Sim,13,5,9,5
Planaltina,2025-07-21,00-06h,Todos,Nublado,Sim,30,10,17,4
Ceilândia,2025-07-10,06-12h,Roubo,Chuva,Sim,2,1,64,2
Jardim Botânico,2025-07-21,12-18h,Todos,Céu limpo,Sim,8,9,67,7
Sobradinho II,2025-07-17,12-18h,Furto,Nublado,Não,19,7,26,6
Itapoã,2025-07-19,00-06h,Todos,Nublado,Não,17,14,45,10
Riacho Fundo,2025-06-29,06-12h,Furto,Céu limpo,Sim,17,3,33,10
Samambaia,2025-07-02,12-18h,Vandalismo,Céu limpo,Não,15,15,48,0
Sudoeste/Octogonal,2025-07-12,18-23h,Todos,Chuva,Sim,0,15,6,2
São Sebastião,2025-07-18,12-18h,Roubo,Chuva,Não,10,11,68,6
Cruzeiro,2025-07-09,12-18h,Vandalismo,Chuva,Sim,28,4,60,7
Santa Maria,2025-07-11,12-18h,Roubo,Nublado,Sim,22,11,43,4
Brazlândia,2025-06-23,18-23h,Todos,Nublado,Sim,10,0,58,2
Itapoã,2025-06-25,06-12h,Roubo,Céu limpo,Sim,11,12,41,2
Águas Claras,2025-07-08,18-23h,Vandalismo,Nublado,Sim,29,14,11,3
Ceilândia,2025-06-21,12-18h,Vandalismo,Nublado,Não,3,2,51,7
Sobradinho,2025-07-20,12-18h,Vandalismo,Chuva,Não,14,1,96,6
Jardim Botânico,2025-07-13,06-12h,Roubo,Chuva,Não,4,1,10,9
Lago Norte,2025-07-03,06-12h,Furto,Nublado,Sim,21,9,83,5
Riacho Fundo II,2025-06-21,18-23h,Vandalismo,Céu limpo,Sim,8,4,55,10
Park Way,2025-07-19,00-06h,Todos,Nublado,Não,10,12,77,7
Águas Claras,2025-06-24,12-18h,Todos,Nublado,Não,28,0,15,3
Arniqueira,2025-07-19,06-12h,Vandalismo,Chuva,Não,9,12,86,1
São Sebastião,2025-07-06,18-23h,Vandalismo,Chuva,Sim,11,8,21,7
Sol Nascente/Pôr do Sol,2025-07-12,00-06h,Vandalismo,Nublado,Não,1,7,21,8
Planaltina,2025-07-21,18-23h,Furto,Céu limpo,Não,24,12,55,8
Vicente Pires,2025-06-25,12-18h,Vandalismo,Chuva,Não,13,12,17,5
Núcleo Bandeirante,2025-07-12,06-12h,Todos,Chuva,Não,3,12,16,9
Sobradinho II,2025-07-03,12-18h,Roubo,Nublado,Não,10,11,39,5
Gama,2025-07-05,12-18h,Furto,Nublado,Sim,2,2,58,10
Asa Sul,2025-07-09,12-18h,Todos,Nublado,Sim,1,15,67,2
Recanto das Emas,2025-06-28,12-18h,Vandalismo,Chuva,Não,1,4,5,7
Samambaia,2025-07-14,18-23h,Furto,Céu limpo,Não,26,1,77,7
Sobradinho,2025-07-08,06-12h,Vandalismo,Chuva,Não,26,11,99,5
São Sebastião,2025-07-21,00-06h,Vandalismo,Chuva,Sim,15,13,56,3
Sobradinho,2025-06-25,06-12h,Furto,Nublado,Não,6,6,21,4
Samambaia,2025-07-04,00-06h,Todos,Nublado,Não,9,8,9,10
Vicente Pires,2025-06-23,12-18h,Vandalismo,Nublado,Não,4,8,81,0
Sobradinho,2025-07-19,12-18h,Todos,Chuva,Sim,13,14,53,8
Riacho Fundo II,2025-07-20,12-18h,Todos,Chuva,Sim,30,6,68,5
Gama,2025-07-09,18-23h,Vandalismo,Céu limpo,Não,29,9,36,1
Recanto das Emas,2025-07-20,12-18h,Roubo,Chuva,Não,28,6,3,3
Gama,2025-07-19,00-06h,Vandalismo,Nublado,Não,9,9,19,8
Varjão,2025-07-12,06-12h,Vandalismo,Céu limpo,Não,18,14,54,5
SIA,2025-06-29,00-06h,Vandalismo,Chuva,Sim,14,12,13,7
Santa Maria,2025-07-14,00-06h,Todos,Nublado,Não,23,15,43,7
Asa Norte,2025-07-21,18-23h,Todos,Céu limpo,Sim,28,11,45,5
SCIA/Estrutural,2025-07-20,00-06h,Roubo,Chuva,Sim,21,12,51,2
Samambaia,2025-07-21,00-06h,Furto,Chuva,Sim,21,13,12,2
Jardim Botânico,2025-07-10,06-12h,Roubo,Nublado,Sim,25,3,82,4
SCIA/Estrutural,2025-06-21,00-06h,Todos,Céu limpo,Sim,20,10,11,5
SCIA/Estrutural,2025-06-27,18-23h,Todos,Céu limpo,Não,24,9,6,5
Fercal,2025-06-24,12-18h,Vandalismo,Chuva,Não,18,6,80,8
Vicente Pires,2025-07-18,18-23h,Vandalismo,Céu limpo,Não,23,5,99,6
Sudoeste/Octogonal,2025-07-02,00-06h,Todos,Céu limpo,Não,9,7,67,7
Cruzeiro,2025-06-30,18-23h,Todos,Nublado,Não,18,10,6,7
Sobradinho,2025-06-30,06-12h,Vandalismo,Nublado,Sim,8,2,92,7
Planaltina,2025-06-29,06-12h,Todos,Chuva,Sim,8,9,9,10
Gama,2025-07-04,12-18h,Roubo,Chuva,Não,28,13,63,6
Recanto das Emas,2025-07-09,18-23h,Vandalismo,Céu limpo,Não,1,0,9,10
Lago Sul,2025-07-20,12-18h,Furto,Céu limpo,Sim,25,7,55,1
Park Way,2025-07-06,00-06h,Vandalismo,Nublado,Sim,30,15,78,10
Riacho Fundo,2025-07-02,18-23h,Vandalismo,Nublado,Não,7,14,27,7
Sobradinho,2025-06-23,00-06h,Vandalismo,Céu limpo,Não,20,9,14,1
Candangolândia,2025-07-11,18-23h,Vandalismo,Céu limpo,Não,3,7,82,8
São Sebastião,2025-07-13,00-06h,Vandalismo,Chuva,Sim,10,2,83,6
Asa Sul,2025-07-19,18-23h,Furto,Chuva,Não,3,4,12,5
Plano Piloto,2025-07-01,00-06h,Todos,Chuva,Sim,17,12,29,2
São Sebastião,2025-07-06,00-06h,Furto,Céu limpo,Sim,13,15,73,4
Recanto das Emas,2025-06-29,12-18h,Todos,Nublado,Sim,4,15,91,6
Varjão,2025-06-28,00-06h,Vandalismo,Chuva,Não,1,10,36,1
Guará,2025-07-13,18-23h,Furto,Chuva,Sim,28,4,53,2
Candangolândia,2025-07-05,00-06h,Furto,Nublado,Não,5,3,15,3
SCIA/Estrutural,2025-06-26,06-12h,Vandalismo,Nublado,Não,22,13,50,6
Brazlândia,2025-07-17,18-23h,Todos,Chuva,Sim,1,4,63,6
Plano Piloto,2025-07-02,06-12h,Furto,Chuva,Não,19,12,56,9
Taguatinga,2025-07-01,00-06h,Todos,Nublado,Sim,18,3,62,3
Riacho Fundo,2025-06-30,00-06h,Vandalismo,Chuva,Sim,25,12,93,8
SCIA/Estrutural,2025-06-25,18-23h,Vandalismo,Chuva,Não,28,8,25,1
Riacho Fundo II,2025-07-15,06-12h,Vandalismo,Céu limpo,Não,25,10,95,3
